NCDCID,ICAO,WBAN,NAME,ST,COUNTY,LAT,LON,ELEV,UTC,STNTYPE,
30001817,KCBX,4101,BOISE,ID,ADA,43.49083,-116.23444,3061,-7,NEXRAD,
30001783,KCCX,54764,STATE,PA,CENTRE,40.92306,-78.00389,2405,-5,NEXRAD,
30001818,KCLE,14820,CLEVELAND,OH,CUYAHOGA,41.41306,-81.86,763,-5,NEXRAD,
30001819,KCLX,53845,CHARLESTON,SC,BEAUFORT,32.65556,-81.04222,97,-5,NEXRAD,
30078819,KCRI,ROC,FAA,OK,CLEVELAND,35.2383,-97.4602,1201,-6,NEXRAD,
30001821,KCRP,12924,CORPUS,TX,NUECES,27.78389,-97.51083,45,-6,NEXRAD,
30001822,KCXX,54774,BURLINGTON,VT,CHITTENDEN,44.51111,-73.16639,317,-5,NEXRAD,
30001823,KCYS,24018,CHEYENNE,WY,LARAMIE,41.15194,-104.80611,6128,-7,NEXRAD,
30001824,KDAX,93235,SACRAMENTO,CA,YOLO,38.50111,-121.67667,30,-8,NEXRAD,
30001825,KDDC,13985,DODGE,KS,FORD,37.76083,-99.96833,2590,-6,NEXRAD,
30001826,KDFX,22015,LAUGHLIN,TX,KINNEY,29.2725,-100.28028,1131,-6,NEXRAD,
30001827,KDGX,JACKSON,BRANDON,MS,RANKIN,32.28,-89.98444,-99999,-6,NEXRAD,
30001828,KDIX,93771,PHILADELPHIA,NJ,BURLINGTON,39.94694,-74.41111,149,-5,NEXRAD,
30001829,KDLH,14913,DULUTH,MN,ST. LOUIS,46.83694,-92.20972,1428,-6,NEXRAD,
30001830,KDMX,94984,DES,IA,POLK,41.73111,-93.72278,981,-6,NEXRAD,
30001831,KDOX,93770,DOVER,DE,SUSSEX,38.82556,-75.44,50,-5,NEXRAD,
30001832,KDTX,4830,DETROIT,MI,OAKLAND,42.69972,-83.47167,1072,-5,NEXRAD,
30001833,KDVN,94982,DAVENPORT,IA,SCOTT,41.61167,-90.58083,754,-6,NEXRAD,
30001834,KDYX,3987,DYESS,TX,SHACKELFORD,32.53833,-99.25417,1517,-6,NEXRAD,
30001835,KEAX,3983,KANSAS,MO,CASS,38.81028,-94.26417,995,-6,NEXRAD,
30001836,KEMX,53112,TUCSON,AZ,PIMA,31.89361,-110.63028,5202,-7,NEXRAD,
30001837,KENX,54766,ALBANY,NY,ALBANY,42.58639,-74.06444,1826,-5,NEXRAD,
30001838,KEOX,53851,FORT,AL,DALE,31.46028,-85.45944,434,-6,NEXRAD,
30001839,KEPZ,3020,EL,NM,DONA ANA,31.87306,-106.6975,4104,-7,NEXRAD,
30001841,KESX,53110,LAS,NV,CLARK,35.70111,-114.89139,4867,-8,NEXRAD,
30001842,KEVX,53825,EGLIN,FL,WALTON,30.56417,-85.92139,140,-5,NEXRAD,
30001843,KEWX,12971,AUSTIN,TX,COMAL,29.70361,-98.02806,633,-6,NEXRAD,
30001943,KEYX,53114,EDWARDS,CA,SANTA BARBARA,35.09778,-117.56,2757,-8,NEXRAD,
30001844,KFCX,53831,ROANOKE,VA,FLOYD,37.02417,-80.27417,2868,-5,NEXRAD,
30001845,KFDR,3981,ALTUS,OK,TILLMAN,34.36222,-98.97611,1267,-6,NEXRAD,
30001846,KFDX,3022,CANNON,NM,CURRY,34.63528,-103.62944,4650,-7,NEXRAD,
30001847,KFFC,53819,ATLANTA,GA,FAYETTE,33.36333,-84.56583,858,-5,NEXRAD,
30001944,KFSD,14944,SIOUX,SD,MINNEHAHA,43.58778,-96.72889,1430,-6,NEXRAD,
30001848,KFSX,53113,FLAGSTAFF,AZ,COCONINO,34.57444,-111.19833,-99999,-7,NEXRAD,
30001849,KFTG,3018,DENVER,CO,ARAPAHOE,39.78667,-104.54528,5497,-7,NEXRAD,
30001850,KFWS,3985,DALLAS,TX,TARRANT,32.57278,-97.30278,683,-6,NEXRAD,
30001851,KGGW,94008,GLASGOW,MT,VALLEY,48.20639,-106.62417,2276,-7,NEXRAD,
30001852,KGJX,3025,GRAND,CO,MESA,39.06222,-108.21306,9992,-7,NEXRAD,
30001853,KGLD,23065,GOODLAND,KS,SHERMAN,39.36694,-101.7,3651,-7,NEXRAD,
30001854,KGRB,14898,GREEN,WI,BROWN,44.49833,-88.11111,682,-6,NEXRAD,
30001855,KGRK,3992,FORT,TX,BELL,30.72167,-97.38278,538,-6,NEXRAD,
30001856,KGRR,94860,GRAND,MI,KENT,42.89389,-85.54472,778,-5,NEXRAD,
30001857,KGSP,3870,GREER,SC,SPARTANBURG,34.88306,-82.22028,940,-5,NEXRAD,
30001858,KGWX,53837,COLUMBUS,MS,MONROE,33.89667,-88.32889,476,-6,NEXRAD,
30001859,KGYX,54762,PORTLAND,ME,CUMBERLAND,43.89139,-70.25694,409,-5,NEXRAD,
30001945,KHDX,3023,HOLLOMAN,NM,DONA ANA,33.07639,-106.12222,4222,-7,NEXRAD,
30001860,KHGX,3980,HOUSTON,TX,GALVESTON,29.47194,-95.07889,18,-6,NEXRAD,
30001861,KHNX,53111,SAN,CA,KINGS,36.31417,-119.63111,243,-8,NEXRAD,
30001862,KHPX,53839,FORT,KY,TODD,36.73667,-87.285,576,-6,NEXRAD,
30001863,KHTX,53857,HUNTSVILLE,AL,JACKSON,34.93056,-86.08361,1760,-6,NEXRAD,
30001864,KICT,3928,WICHITA,KS,SEDGWICK,37.65444,-97.4425,1335,-6,NEXRAD,
30001865,KICX,53118,CEDAR,UT,IRON,37.59083,-112.86222,10600,-7,NEXRAD,
30001866,KILN,13841,CINCINNATI,OH,CLINTON,39.42028,-83.82167,1056,-5,NEXRAD,
30001867,KILX,4833,LINCOLN,IL,LOGAN,40.15056,-89.33667,582,-6,NEXRAD,
30001868,KIND,93819,INDIANAPOLIS,IN,MARION,39.7075,-86.28028,790,-5,NEXRAD,
30001869,KINX,3984,TULSA,OK,ROGERS,36.175,-95.56444,668,-6,NEXRAD,
30001870,KIWA,23104,PHOENIX,AZ,MARICOPA,33.28917,-111.66917,1353,-7,NEXRAD,
30001871,KIWX,4844,FORT,IN,KOSCIUSKO,41.40861,-85.7,960,-5,NEXRAD,
30001872,KJAX,13889,JACKSONVILLE,FL,DUVAL,30.48444,-81.70194,33,-5,NEXRAD,
30001873,KJGX,53824,ROBINS,GA,TWIGGS,32.675,-83.35111,521,-5,NEXRAD,
30001874,KJKL,3889,JACKSON,KY,BREATHITT,37.59083,-83.31306,1364,-5,NEXRAD,
30001875,KLBB,23042,LUBBOCK,TX,LUBBOCK,33.65417,-101.81361,3259,-6,NEXRAD,
30001876,KLCH,3937,LAKE,LA,CALCASIEU,30.125,-93.21583,13,-6,NEXRAD,
30078818,KLGX,LANGLEY,HILL,WA,GRAYS HARBOR,47.1158,-124.1069,252,-8,NEXRAD,
30001877,KLIX,53813,NEW,LA,ST. TAMMANY,30.33667,-89.82528,24,-6,NEXRAD,
30001878,KLNX,94049,NORTH,NE,LOGAN,41.95778,-100.57583,2970,-6,NEXRAD,
30001879,KLOT,4831,CHICAGO,IL,WILL,41.60444,-88.08472,663,-6,NEXRAD,
30001880,KLRX,4108,ELKO,NV,LANDER,40.73972,-116.80278,6744,-8,NEXRAD,
30001881,KLSX,3982,ST,MO,ST. CHARLES,38.69889,-90.68278,608,-6,NEXRAD,
30001882,KLTX,93774,WILMINGTON,NC,BRUNSWICK,33.98917,-78.42917,64,-5,NEXRAD,
30001883,KLVX,53827,LOUISVILLE,KY,HARDIN,37.97528,-85.94389,719,-5,NEXRAD,
30001884,KLWX,93767,STERLING,VA,LOUDOUN,38.97628,-77.48751,-99999,-5,NEXRAD,
30001885,KLZK,3952,LITTLE,AR,PULASKI,34.83639,-92.26194,568,-6,NEXRAD,
30001886,KMAF,23023,MIDLAND,TX,MIDLAND,31.94333,-102.18889,2868,-6,NEXRAD,
30001887,KMAX,94296,MEDFORD,OR,JACKSON,42.08111,-122.71611,7513,-8,NEXRAD,
30001888,KMBX,94048,MINOT,ND,MCHENRY,48.3925,-100.86444,1493,-6,NEXRAD,
30001889,KMHX,93768,MOREHEAD,NC,CARTERET,34.77583,-76.87639,31,-5,NEXRAD,
30001890,KMKX,4834,MILWAUKEE,WI,WAUKESHA,42.96778,-88.55056,958,-6,NEXRAD,
30001891,KMLB,12838,MELBOURNE,FL,BREVARD,28.11306,-80.65444,99,-5,NEXRAD,
30001892,KMOB,13894,MOBILE,AL,MOBILE,30.67944,-88.23972,208,-6,NEXRAD,
30001893,KMPX,94983,MINNEAPOLIS,MN,CARVER,44.84889,-93.56528,946,-6,NEXRAD,
30001894,KMQT,94850,MARQUETTE,MI,MARQUETTE,46.53111,-87.54833,1411,-5,NEXRAD,
30001895,KMRX,53832,KNOXVILLE,TN,HAMBLEN,36.16833,-83.40194,1337,-5,NEXRAD,
30001896,KMSX,4103,MISSOULA,MT,MISSOULA,47.04111,-113.98611,7855,-7,NEXRAD,
30001897,KMTX,4104,SALT,UT,SALT LAKE ,41.26278,-112.44694,6460,-7,NEXRAD,
30001898,KMUX,93236,SAN,CA,SANTA CLARA,37.15528,-121.8975,3469,-8,NEXRAD,
30001899,KMVX,94986,GRAND,ND,TRAILL,47.52806,-97.325,986,-6,NEXRAD,
30001900,KMXX,53826,MAXWELL,AL,TALLAPOOSA,32.53667,-85.78972,400,-6,NEXRAD,
30001901,KNKX,53115,SAN,CA,SAN DIEGO,32.91889,-117.04194,955,-8,NEXRAD,
30001902,KNQA,93839,MEMPHIS,TN,SHELBY,35.34472,-89.87333,282,-5,NEXRAD,
30001903,KOAX,94980,OMAHA,NE,DOUGLAS,41.32028,-96.36639,1148,-6,NEXRAD,
30001904,KOHX,53833,NASHVILLE,TN,WILSON,36.24722,-86.5625,579,-5,NEXRAD,
30001905,KOKX,94703,NEW,NY,SUFFOLK,40.86556,-72.86444,85,-5,NEXRAD,
30001906,KOTX,4106,SPOKANE,WA,SPOKANE,47.68056,-117.62583,2384,-8,NEXRAD,
30001907,KPAH,3816,PADUCAH,KY,MCCRACKEN,37.06833,-88.77194,392,-6,NEXRAD,
30001908,KPBZ,4832,PITTSBURGH,PA,ALLEGHENY,40.53167,-80.21833,1185,-5,NEXRAD,
30001909,KPDT,24155,PENDLETON,OR,UMATILLA,45.69056,-118.85278,1515,-8,NEXRAD,
30001910,KPOE,3993,FORT,LA,VERNON,31.15528,-92.97583,408,-6,NEXRAD,
30001911,KPUX,3021,PUEBLO,CO,PUEBLO,38.45944,-104.18139,5249,-7,NEXRAD,
30001912,KRAX,93772,RALEIGH,NC,WAKE,35.66528,-78.49,348,-5,NEXRAD,
30001913,KRGX,53104,RENO,NV,WASHOE,39.75417,-119.46111,8299,-8,NEXRAD,
30001914,KRIW,24061,RIVERTON,WY,FREMONT,43.06611,-108.47667,5568,-7,NEXRAD,
30001915,KRLX,53834,CHARLESTON,WV,KANAWHA,38.31194,-81.72389,1080,-5,NEXRAD,
30001916,KRTX,94288,PORTLAND,OR,WASHINGTON,45.715,-122.96417,-99999,-8,NEXRAD,
30001917,KSFX,4107,POCATELLO,ID,BINGHAM,43.10583,-112.68528,4474,-7,NEXRAD,
30001918,KSGF,13995,SPRINGFIELD,MO,GREENE,37.23528,-93.40028,1278,-6,NEXRAD,
30001920,KSHV,13957,SHREVEPORT,LA,CADDO,32.45056,-93.84111,273,-6,NEXRAD,
30001921,KSJT,23034,SAN,TX,TOM GREEN,31.37111,-100.49222,1890,-6,NEXRAD,
30001922,KSOX,53117,SANTA,CA,ORANGE,33.81778,-117.635,3027,-8,NEXRAD,
30001948,KSRX,53906,FORT,AR,SEBASTIAN,35.29056,-94.36167,-99999,-6,NEXRAD,
30001923,KTBW,92801,TAMPA,FL,HILLSBOROUGH,27.70528,-82.40194,41,-5,NEXRAD,
30001925,KTFX,4102,GREAT,MT,CASCADE,47.45972,-111.38444,3714,-7,NEXRAD,
30001924,KTLH,93805,TALLAHASSEE,FL,LEON,30.3975,-84.32889,63,-5,NEXRAD,
30001926,KTLX,3979,OKLAHOMA,OK,OKLAHOMA,35.33306,-97.2775,1213,-6,NEXRAD,
30001927,KTWX,3986,TOPEKA,KS,WABAUNSEE,38.99694,-96.2325,1367,-6,NEXRAD,
30001946,KTYX,54776,FORT,NY,LEWIS,43.75583,-75.68,1846,-5,NEXRAD,
30001928,KUDX,94047,RAPID,SD,PENNINGTON,44.125,-102.82944,3016,-6,NEXRAD,
30001929,KUEX,94981,HASTINGS,NE,WEBSTER,40.32083,-98.44167,1976,-6,NEXRAD,
30001947,KVAX,53856,MOODY,GA,LANIER,30.89,-83.00194,178,-5,NEXRAD,
30001930,KVBX,93234,VANDENBERG,CA,SANTA BARBARA,34.83806,-120.39583,1233,-8,NEXRAD,
30001931,KVNX,3995,VANCE,OK,ALFALFA,36.74083,-98.1275,1210,-6,NEXRAD,
30001932,KVTX,53101,LOS,CA,VENTURA,34.41167,-119.17861,2726,-8,NEXRAD,
30001609,KVWX,63845,EVANSVILLE,IN,GIBSON,38.26,-87.7247,-99999,-6,NEXRAD,
30001934,KYUX,53116,YUMA,AZ,PIMA,32.49528,-114.65583,174,-7,NEXRAD,
30001938,LPLA,13201,LAJES,,,38.73028,-27.32167,3334,-1,NEXRAD,
30001939,PABC,BETHEL,FAA,AK,BETHEL,60.79278,-161.87417,162,-9,NEXRAD,
30001940,PACG,25361,SITKA,AK,SITKA BOROUGH ,56.85278,-135.52917,270,-9,NEXRAD,
30001941,PAEC,26641,NOME,AK,NOME,64.51139,-165.295,54,-9,NEXRAD,
30001942,PAHG,26548,ANCHORAGE,AK,KENAI PENINSULA BOROUGH,60.725914,-151.35146,243,-9,NEXRAD,
30001958,PAIH,25404,MIDDLETON,AK,VALDEZ-CORDOVA,59.46194,-146.30111,67,-9,NEXRAD,
30001959,PAKC,25503,KING,AK,BRISTOL BAY BOROUGH,58.67944,-156.62944,63,-9,NEXRAD,
30001960,PAPD,24690,FAIRBANKS,AK,FAIRBANKS,65.03556,-147.49917,2593,-9,NEXRAD,
30001961,PGUA,41417,ANDERSEN,GUAM,GU,13.45444,144.80833,264,-8,NEXRAD,
30001962,PHKI,22548,SOUTH,HI,KAUAI,21.89417,-159.55222,179,-10,NEXRAD,
30001963,PHKM,22550,KAMUELA,HI,HAWAII,20.12556,-155.77778,3812,-10,NEXRAD,
30001964,PHMO,22547,MOLOKAI,HI,HAWAII,21.13278,-157.18,1363,-8,NEXRAD,
30001965,PHWA,22513,SOUTH,HI,HAWAII,19.095,-155.56889,1370,-10,NEXRAD,
30001967,RKJK,43219,KUNSAN,SOUTH,KOREA,35.92417,126.62222,78,9,NEXRAD,
30001968,RKSG,43216,CAMP,SOUTH,KOREA,36.95972,127.01833,52,9,NEXRAD,
30001969,RODN,42219,KADENA,JAPAN,,26.3019,127.90972,218,9,NEXRAD,
30001966,TJUA,11655,SAN,PR,SAN JUAN,18.1175,-66.07861,2794,-4,NEXRAD,
